Day,Time
68,05:00:00
67,06:33:00
66,06:31:00
65,06:00:00
64,07:00:00
63,06:00:00
62,07:03:28
61,06:30:00
60,05:00:00
59,06:00:00
58,05:00:00
57,04:30:00
56,07:30:00
55,10:30:00
54,06:00:00
53,06:00:00
52,06:00:00
51,07:15:00
50,08:00:00
49,08:00:00
48,05:00:00
47,08:00:00
46,10:07:00
45,08:30:00
44,08:30:00
43,08:02:22
42,08:02:22
41,09:30:00
40,07:00:00
39,11:30:00
38,09:30:00
37,10:10:00
36,10:20:00
35,08:30:00
34,09:30:00
33,08:04:07
32,07:42:52
31,10:25:50
30,09:00:00
29,07:00:00
28,07:15:00
27,11:30:00
26,08:30:00
25,10:30:00
24,07:30:00
23,07:30:00
22,06:00:00
21,09:00:00
20,09:30:00
19,08:30:00
18,09:12:00
17,09:00:00
16,07:00:00
15,07:00:00
14,07:15:00
13,07:15:00
12,06:30:00
11,09:00:00
10,07:12:00
9,07:12:00
8,06:00:00
7,07:30:00
6,05:30:00
5,08:00:00
4,09:00:00
3,07:00:00
2,09:41:57
1,07:47:48
0,07:00:00
